#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      3750.00      915.705
      3750.86      916.242
      3751.73      916.779
      3752.59      917.316
      3753.46      917.854
      3754.32      918.392
      3755.19      918.931
      3756.05      919.469
      3756.91      920.007
      3757.78      920.546
      3758.64      921.085
      3759.51      921.625
      3760.38      922.164
      3761.24      922.705
      3762.11      923.245
      3762.97      923.785
      3763.84      924.327
      3764.71      924.868
      3765.58      925.411
      3766.44      925.952
      3767.31      926.494
      3768.18      927.037
      3769.04      927.579
      3769.91      928.122
      3770.78      928.665
      3771.65      929.209
      3772.52      929.753
      3773.39      930.298
      3774.26      930.842
      3775.12      931.386
      3775.99      931.931
      3776.86      932.476
      3777.73      933.023
      3778.60      933.568
      3779.47      934.115
      3780.34      934.661
      3781.21      935.207
      3782.09      935.755
      3782.96      936.302
      3783.83      936.850
      3784.70      937.397
      3785.57      937.946
      3786.44      938.494
      3787.32      939.043
      3788.19      939.592
      3789.06      940.141
      3789.93      940.691
      3790.80      941.240
      3791.68      941.791
      3792.55      942.341
      3793.42      942.893
      3794.30      943.443
      3795.17      943.994
      3796.05      944.546
      3796.92      945.097
      3797.79      945.650
      3798.67      946.202
      3799.54      946.755
      3800.42      947.308
      3801.29      947.860
      3802.17      948.415
      3803.04      948.968
      3803.92      949.523
      3804.80      950.077
      3805.67      950.632
      3806.55      951.186
      3807.42      951.741
      3808.30      952.297
      3809.18      952.853
      3810.06      953.410
      3810.93      953.965
      3811.81      954.523
      3812.69      955.079
      3813.57      955.636
      3814.45      956.194
      3815.32      956.752
      3816.20      957.310
      3817.08      957.868
      3817.96      958.428
      3818.84      958.986
      3819.72      959.544
      3820.60      960.104
      3821.48      960.664
      3822.36      961.224
      3823.24      961.784
      3824.12      962.346
      3825.00      962.906
      3825.88      963.466
      3826.76      964.029
      3827.64      964.590
      3828.52      965.152
      3829.41      965.714
      3830.29      966.277
      3831.17      966.840
      3832.05      967.402
      3832.93      967.966
      3833.82      968.529
      3834.70      969.094
      3835.58      969.657
      3836.47      970.223
      3837.35      970.787
      3838.23      971.351
      3839.12      971.917
      3840.00      972.482
      3840.89      973.049
      3841.77      973.615
      3842.66      974.182
      3843.54      974.748
      3844.42      975.315
      3845.31      975.882
      3846.19      976.449
      3847.08      977.018
      3847.97      977.586
      3848.85      978.155
      3849.74      978.723
      3850.62      979.291
      3851.51      979.861
      3852.40      980.430
      3853.29      981.000
      3854.17      981.569
      3855.06      982.141
      3855.95      982.711
      3856.84      983.282
      3857.73      983.853
      3858.61      984.423
      3859.50      984.996
      3860.39      985.567
      3861.28      986.140
      3862.17      986.712
      3863.06      987.285
      3863.95      987.858
      3864.84      988.431
      3865.73      989.005
      3866.62      989.578
      3867.51      990.153
      3868.40      990.727
      3869.29      991.302
      3870.18      991.876
      3871.07      992.451
      3871.96      993.027
      3872.86      993.602
      3873.75      994.179
      3874.64      994.755
      3875.53      995.332
      3876.42      995.909
      3877.32      996.485
      3878.21      997.063
      3879.10      997.640
      3880.00      998.219
      3880.89      998.796
      3881.78      999.375
      3882.68      999.953
      3883.57      1000.53
      3884.47      1001.11
      3885.36      1001.69
      3886.26      1002.27
      3887.15      1002.85
      3888.05      1003.43
      3888.94      1004.01
      3889.84      1004.59
      3890.73      1005.17
      3891.63      1005.75
      3892.53      1006.34
      3893.42      1006.92
      3894.32      1007.50
      3895.21      1008.08
      3896.11      1008.67
      3897.01      1009.25
      3897.91      1009.83
      3898.80      1010.42
